filename,class,category,role,contribution_weight,dominant_freqs_Hz,n_nmf_components
15.wav,Cargo,"Generator (tonal, 40-100 Hz)",machinery_source (w_i*m_i),0.342348,"[93.75, 78.12]",2
15.wav,Cargo,"Pumps & Compressors (tonal, 100-300 Hz)",machinery_source (w_i*m_i),0.378143,"[125.0, 109.38, 156.25, 171.88]",4
15.wav,Cargo,"Cavitation, Flow & Ambient Noise (broadband residual)",residual (Phase 9/10A input),0.033662,[],0
27.wav,Cargo,"Gearbox / Gear-mesh (tonal, 300-800 Hz)",machinery_source (w_i*m_i),0.252484,"[656.25, 328.12]",2
27.wav,Cargo,"Pumps & Compressors (tonal, 100-300 Hz)",machinery_source (w_i*m_i),0.372712,"[156.25, 234.38, 140.62, 187.5]",4
27.wav,Cargo,"Cavitation, Flow & Ambient Noise (broadband residual)",residual (Phase 9/10A input),0.1021,[],0
38.wav,Cargo,"Generator (tonal, 40-100 Hz)",machinery_source (w_i*m_i),0.317269,"[78.12, 46.88, 93.75]",3
38.wav,Cargo,"Engine Shaft & Propeller BPF (tonal, <40 Hz)",machinery_source (w_i*m_i),0.091007,[15.62],1
38.wav,Cargo,"Pumps & Compressors (tonal, 100-300 Hz)",machinery_source (w_i*m_i),0.16875,"[203.12, 140.62]",2
38.wav,Cargo,"Cavitation, Flow & Ambient Noise (broadband residual)",residual (Phase 9/10A input),0.070974,[],0
41.wav,Cargo,"Gearbox / Gear-mesh (tonal, 300-800 Hz)",machinery_source (w_i*m_i),0.219529,"[718.75, 359.38]",2
41.wav,Cargo,"Pumps & Compressors (tonal, 100-300 Hz)",machinery_source (w_i*m_i),0.375919,"[140.62, 218.75, 250.0, 171.88]",4
41.wav,Cargo,"Cavitation, Flow & Ambient Noise (broadband residual)",residual (Phase 9/10A input),0.101664,[],0
44.wav,Cargo,"Engine Shaft & Propeller BPF (tonal, <40 Hz)",machinery_source (w_i*m_i),0.080856,[31.25],1
44.wav,Cargo,"Generator (tonal, 40-100 Hz)",machinery_source (w_i*m_i),0.34714,"[46.88, 78.12, 93.75]",3
44.wav,Cargo,"Pumps & Compressors (tonal, 100-300 Hz)",machinery_source (w_i*m_i),0.145182,"[140.62, 234.38]",2
44.wav,Cargo,"Cavitation, Flow & Ambient Noise (broadband residual)",residual (Phase 9/10A input),0.063276,[],0
62.wav,Cargo,"Generator (tonal, 40-100 Hz)",machinery_source (w_i*m_i),0.550955,"[46.88, 78.12, 62.5]",3
62.wav,Cargo,"Engine Shaft & Propeller BPF (tonal, <40 Hz)",machinery_source (w_i*m_i),0.107573,"[31.25, 15.62]",2
62.wav,Cargo,"Pumps & Compressors (tonal, 100-300 Hz)",machinery_source (w_i*m_i),0.040711,[109.38],1
62.wav,Cargo,"Cavitation, Flow & Ambient Noise (broadband residual)",residual (Phase 9/10A input),0.021722,[],0
69.wav,Cargo,"Generator (tonal, 40-100 Hz)",machinery_source (w_i*m_i),0.304039,"[46.88, 62.5]",2
69.wav,Cargo,"Pumps & Compressors (tonal, 100-300 Hz)",machinery_source (w_i*m_i),0.206441,"[281.25, 171.88, 234.38]",3
69.wav,Cargo,"Engine Shaft & Propeller BPF (tonal, <40 Hz)",machinery_source (w_i*m_i),0.081363,[31.25],1
69.wav,Cargo,"Cavitation, Flow & Ambient Noise (broadband residual)",residual (Phase 9/10A input),0.06415,[],0
78.wav,Cargo,"Generator (tonal, 40-100 Hz)",machinery_source (w_i*m_i),0.417631,"[78.12, 62.5, 93.75]",3
78.wav,Cargo,"Gearbox / Gear-mesh (tonal, 300-800 Hz)",machinery_source (w_i*m_i),0.093182,[468.75],1
78.wav,Cargo,"Pumps & Compressors (tonal, 100-300 Hz)",machinery_source (w_i*m_i),0.134134,"[125.0, 171.88]",2
78.wav,Cargo,"Cavitation, Flow & Ambient Noise (broadband residual)",residual (Phase 9/10A input),0.068857,[],0
96.wav,Cargo,"Pumps & Compressors (tonal, 100-300 Hz)",machinery_source (w_i*m_i),0.423138,"[218.75, 140.62, 109.38, 171.88]",4
96.wav,Cargo,"Generator (tonal, 40-100 Hz)",machinery_source (w_i*m_i),0.117658,[62.5],1
96.wav,Cargo,"Gearbox / Gear-mesh (tonal, 300-800 Hz)",machinery_source (w_i*m_i),0.08453,[421.88],1
96.wav,Cargo,"Cavitation, Flow & Ambient Noise (broadband residual)",residual (Phase 9/10A input),0.085924,[],0
99.wav,Cargo,"Generator (tonal, 40-100 Hz)",machinery_source (w_i*m_i),0.545702,"[78.12, 93.75, 62.5]",3
99.wav,Cargo,"Pumps & Compressors (tonal, 100-300 Hz)",machinery_source (w_i*m_i),0.259882,"[109.38, 140.62, 171.88]",3
99.wav,Cargo,"Cavitation, Flow & Ambient Noise (broadband residual)",residual (Phase 9/10A input),0.026784,[],0
1.wav,Passengership,"Hull & High-Frequency Machinery (tonal, >800 Hz)",machinery_source (w_i*m_i),0.135901,[828.12],1
1.wav,Passengership,"Generator (tonal, 40-100 Hz)",machinery_source (w_i*m_i),0.168907,"[46.88, 78.12]",2
1.wav,Passengership,"Pumps & Compressors (tonal, 100-300 Hz)",machinery_source (w_i*m_i),0.123257,"[234.38, 109.38]",2
1.wav,Passengership,"Gearbox / Gear-mesh (tonal, 300-800 Hz)",machinery_source (w_i*m_i),0.04285,[781.25],1
1.wav,Passengership,"Cavitation, Flow & Ambient Noise (broadband residual)",residual (Phase 9/10A input),0.099865,[],0
4.wav,Passengership,"Generator (tonal, 40-100 Hz)",machinery_source (w_i*m_i),0.492596,"[93.75, 78.12, 46.88]",3
4.wav,Passengership,"Gearbox / Gear-mesh (tonal, 300-800 Hz)",machinery_source (w_i*m_i),0.044757,[687.5],1
4.wav,Passengership,"Pumps & Compressors (tonal, 100-300 Hz)",machinery_source (w_i*m_i),0.114075,"[109.38, 125.0]",2
4.wav,Passengership,"Cavitation, Flow & Ambient Noise (broadband residual)",residual (Phase 9/10A input),0.032151,[],0
5.wav,Passengership,"Engine Shaft & Propeller BPF (tonal, <40 Hz)",machinery_source (w_i*m_i),0.352083,"[0.0, 0.0, 31.25]",3
5.wav,Passengership,"Gearbox / Gear-mesh (tonal, 300-800 Hz)",machinery_source (w_i*m_i),0.047028,[375.0],1
5.wav,Passengership,"Pumps & Compressors (tonal, 100-300 Hz)",machinery_source (w_i*m_i),0.052339,[140.62],1
